return_id,order_item_id,customer_id,return_request_date,return_received_date,return_reason,return_condition,refund_amount,refund_status,return_channel
RET-00001758,ITM-000023515,CUS-001938,2026-07-25,2026-08-04,Size/Fit,Opened,48.05,Processed,Store
RET-00001759,ITM-000023516,CUS-004361,2021-02-14,2021-02-16,Changed Mind,Resellable,571.2,Processed,Store
RET-00001760,ITM-000023518,CUS-009593,2024-05-09,2024-05-10,Changed Mind,Resellable,38.45,Pending,Courier
RET-00001761,ITM-000023556,CUS-002883,2025-08-15,2025-08-15,Not as Described,Defective,364.48,Processed,Store
RET-00001762,ITM-000023562,CUS-011270,2021-01-08,2021-01-14,Changed Mind,Opened,164.15,Pending,Courier
RET-00001763,ITM-000023602,CUS-002398,2022-03-13,2022-03-25,,Defective,109.63,Processed,Store
RET-00001764,ITM-000023615,CUS-009691,2021-01-10,2021-01-20,Not as Described,Opened,72.74,Processed,Courier
RET-00001765,ITM-000023630,CUS-004301,2022-09-15,2022-09-22,Changed Mind,Opened,57.45,Processed,Courier
RET-00001766,ITM-000023641,,2024-04-11,2024-04-16,Not as Described,Damaged,218.22,Processed,Courier
RET-00001767,ITM-000023645,CUS-000718,2025-06-05,2025-06-17,Not as Described,Damaged,169.56,Approved,Store
RET-00001768,ITM-000023701,CUS-005496,2021-01-10,2021-01-21,,Opened,260.06,Approved,Store
RET-00001769,ITM-000023705,CUS-007071,2023-02-05,2023-02-08,Size/Fit,Resellable,13.23,Processed,Courier
RET-00001770,ITM-000023707,CUS-009494,2023-11-03,2023-11-09,Size/Fit,Resellable,236.37,Pending,Store
RET-00001771,ITM-000023717,,2021-10-23,2021-10-27,,Resellable,41.0,Approved,Store
RET-00001772,ITM-000023730,CUS-007037,2024-02-20,2024-03-02,Size/Fit,Opened,234.41,Processed,Courier
RET-00001773,ITM-000023753,CUS-004723,2026-05-10,2026-05-18,Not as Described,Defective,36.24,Approved,Courier
RET-00001774,ITM-000023754,CUS-006740,2026-01-18,2026-01-26,Defective Product,Opened,168.6,Processed,Courier
RET-00001775,ITM-000023755,CUS-009825,2026-06-16,2026-06-20,Other,Damaged,205.46,Approved,Courier
RET-00001776,ITM-000023764,CUS-010434,2022-09-20,2022-09-25,Size/Fit,Defective,195.01,Pending,Store
RET-00001777,ITM-000023767,CUS-011969,2023-03-19,2023-03-25,Damaged Delivery,Damaged,215.84,Pending,Courier
RET-00001778,ITM-000023780,CUS-003314,2021-04-04,2021-04-16,,Opened,236.49,Approved,Store
RET-00001779,ITM-000023811,CUS-000644,2024-04-02,2024-04-02,Changed Mind,Defective,32.17,Approved,Courier
RET-00001780,ITM-000023843,CUS-001529,2024-01-05,2024-01-14,Damaged Delivery,Defective,151.68,Processed,Store
RET-00001781,ITM-000023852,CUS-003017,2021-01-13,2021-01-26,Changed Mind,Defective,341.32,Processed,Store
RET-00001782,ITM-000023855,CUS-008063,2021-08-24,2021-08-31,Other,Defective,63.12,Pending,Courier
RET-00001783,ITM-000023876,CUS-002899,2023-01-31,2023-01-31,Damaged Delivery,Resellable,120.74,Approved,Store
RET-00001784,ITM-000023883,CUS-009838,2020-11-05,2020-11-17,,Defective,622.1,Pending,Store
RET-00001785,ITM-000023885,CUS-002683,2020-07-10,2020-07-15,Changed Mind,Damaged,70.96,Processed,Courier
RET-00001786,ITM-000023889,CUS-000676,2024-10-09,2024-10-18,Not as Described,Resellable,12.79,Processed,Courier
RET-00001787,ITM-000023899,CUS-008356,2025-04-16,2025-04-18,Changed Mind,Resellable,45.3,Processed,Courier
RET-00001788,ITM-000023919,CUS-006002,2023-01-14,2023-01-24,Changed Mind,Resellable,181.36,Approved,Store
RET-00001789,ITM-000023929,CUS-002714,2023-05-02,2023-05-15,Defective Product,Resellable,147.08,Approved,Courier
RET-00001790,ITM-000023932,CUS-008739,2022-02-08,2022-02-09,Changed Mind,Resellable,429.19,Approved,Store
RET-00001791,ITM-000023936,CUS-002392,2024-04-13,2024-04-18,Changed Mind,Resellable,67.09,Pending,Store
RET-00001792,ITM-000023957,CUS-007554,2026-07-01,2026-07-05,Size/Fit,Resellable,5.9,Pending,Store
RET-00001793,ITM-000023960,CUS-004291,2025-01-15,2025-01-28,,Defective,73.46,Pending,Courier
RET-00001794,ITM-000023995,CUS-008338,2024-05-05,2024-05-16,Not as Described,Damaged,78.79,Processed,Courier
RET-00001795,ITM-000023998,CUS-005751,2024-04-08,2024-04-10,Size/Fit,Damaged,104.11,Approved,Store
RET-00001796,ITM-000024032,CUS-000444,2020-06-11,2020-06-11,Changed Mind,Defective,28.51,Processed,Courier
RET-00001797,ITM-000024043,CUS-004221,2023-10-08,2023-10-14,Changed Mind,Damaged,109.44,Approved,Store
RET-00001798,ITM-000024053,,2021-06-23,2021-07-03,Size/Fit,Damaged,40.43,Processed,Courier
RET-00001799,ITM-000024059,CUS-008870,2024-11-27,2024-11-30,,Damaged,58.02,Approved,Store
RET-00001800,ITM-000024079,CUS-003323,2024-04-12,2024-04-23,Size/Fit,Opened,58.6,Processed,Courier
RET-00001801,ITM-000024086,CUS-004339,2022-09-09,2022-09-21,Wrong Item,Resellable,22.73,Pending,Store
RET-00001802,ITM-000024100,CUS-003347,2024-08-24,2024-08-27,,Resellable,40.83,Approved,Courier
RET-00001803,ITM-000024104,CUS-004446,2023-08-08,2023-08-18,Not as Described,Damaged,122.34,Pending,Courier
RET-00001804,ITM-000024118,CUS-002511,2020-03-08,2020-03-14,,Opened,74.26,Pending,Courier
RET-00001805,ITM-000024121,CUS-002434,2025-07-12,2025-07-12,Not as Described,Resellable,18.39,Processed,Courier
RET-00001806,ITM-000024123,CUS-005830,2026-02-17,2026-02-23,Changed Mind,Defective,104.96,Approved,Courier
RET-00001807,ITM-000024126,CUS-005830,2026-02-25,2026-02-26,Changed Mind,Resellable,45.84,Pending,Courier
RET-00001808,ITM-000024136,CUS-001606,2020-11-05,2020-11-13,Wrong Item,Defective,180.05,Processed,Courier
RET-00001809,ITM-000024144,CUS-006949,2024-02-09,2024-02-16,Changed Mind,Damaged,94.94,Processed,Store
RET-00001810,ITM-000024151,CUS-004186,2021-08-09,2021-08-13,Size/Fit,Opened,66.6,Processed,Store
RET-00001811,ITM-000024160,CUS-000378,2023-09-18,2023-10-01,Not as Described,Defective,153.78,Processed,Courier
RET-00001812,ITM-000024178,CUS-003922,2025-12-26,2025-12-28,Changed Mind,Damaged,90.65,Approved,Courier
RET-00001813,ITM-000024182,CUS-002667,2023-12-08,2023-12-09,Defective Product,Damaged,45.89,Processed,Courier
RET-00001814,ITM-000024217,CUS-005259,2022-11-16,2022-11-24,Size/Fit,Defective,39.15,Approved,Courier
RET-00001815,ITM-000024238,CUS-003660,2024-11-02,2024-11-15,Defective Product,Damaged,28.04,Pending,Store
RET-00001816,ITM-000024241,CUS-007286,2020-07-10,2020-07-17,Not as Described,Opened,91.8,Processed,Courier
RET-00001817,ITM-000024265,CUS-004464,2023-10-19,2023-10-27,Not as Described,Damaged,762.72,Pending,Store
RET-00001818,ITM-000024338,CUS-008837,2025-10-23,2025-10-30,Changed Mind,Resellable,59.05,Approved,Store
RET-00001819,ITM-000024340,CUS-011119,2021-06-17,2021-06-30,Changed Mind,Defective,208.28,Processed,Store
RET-00001820,ITM-000024384,CUS-004163,2024-02-29,2024-03-06,Changed Mind,Opened,40.62,Processed,Courier
RET-00001821,ITM-000024406,CUS-003788,2023-10-16,2023-10-24,Defective Product,Resellable,52.51,Processed,Store
RET-00001822,ITM-000024462,CUS-003325,2020-01-18,2020-01-21,Changed Mind,Resellable,20.69,Processed,Courier
RET-00001823,ITM-000024486,CUS-011990,2022-11-24,2022-11-24,Damaged Delivery,Defective,555.07,Processed,Courier
RET-00001824,ITM-000024495,CUS-011294,2025-12-03,2025-12-07,Defective Product,Opened,101.16,Processed,Store
RET-00001825,ITM-000024502,CUS-000919,2020-05-27,2020-06-04,Wrong Item,Opened,42.15,Approved,Store
RET-00001826,ITM-000024518,CUS-009955,2022-04-26,2022-04-28,Size/Fit,Defective,119.28,Pending,Courier
RET-00001827,ITM-000024543,CUS-007735,2021-10-17,2021-10-29,Damaged Delivery,Defective,180.26,Pending,Store
RET-00001828,ITM-000024547,CUS-008170,2024-02-12,2024-02-16,Changed Mind,Defective,114.1,Pending,Courier
RET-00001829,ITM-000024595,CUS-008374,2021-01-27,2021-02-03,Damaged Delivery,Resellable,194.34,Processed,Store
RET-00001830,ITM-000024608,CUS-000972,2022-11-05,2022-11-11,Damaged Delivery,Defective,94.12,Pending,Store
RET-00001831,ITM-000024620,CUS-005383,2022-09-07,2022-09-07,Size/Fit,Resellable,76.85,Pending,Store
RET-00001832,ITM-000024647,CUS-005809,2025-05-27,2025-06-08,Size/Fit,Defective,248.82,Processed,Store
RET-00001833,ITM-000024676,CUS-007496,2023-10-08,2023-10-16,Size/Fit,Opened,56.81,Pending,Store
RET-00001834,ITM-000024680,CUS-000771,2022-09-24,2022-09-30,Not as Described,Opened,38.42,Approved,Store
RET-00001835,ITM-000024683,CUS-005815,2023-07-19,2023-07-24,Size/Fit,Damaged,39.74,Pending,Store
RET-00001836,ITM-000024703,CUS-011553,2023-03-24,2023-04-02,Changed Mind,Resellable,87.48,Processed,Courier
RET-00001837,ITM-000024723,CUS-004415,2023-02-24,2023-02-25,Not as Described,Opened,72.74,Approved,Store
RET-00001838,ITM-000024737,CUS-008976,2025-12-31,2026-01-12,Not as Described,Damaged,76.16,Approved,Store
RET-00001839,ITM-000024761,CUS-009136,2020-05-13,2020-05-20,Other,Defective,36.79,Pending,Store
RET-00001840,ITM-000024766,CUS-002223,2023-10-11,2023-10-18,Changed Mind,Damaged,46.53,Approved,Store
RET-00001841,ITM-000024798,CUS-008195,2026-06-07,2026-06-14,Changed Mind,Defective,86.81,Pending,Courier
RET-00001842,ITM-000024799,CUS-008195,2026-06-15,2026-06-21,Not as Described,Damaged,77.33,Pending,Courier
RET-00001843,ITM-000024802,CUS-000721,2021-02-25,2021-03-06,,Defective,30.66,Approved,Courier
RET-00001844,ITM-000024813,CUS-011452,2024-11-24,2024-11-28,Defective Product,Damaged,95.16,Approved,Store
RET-00001845,ITM-000024838,CUS-010551,2026-01-28,2026-02-05,Not as Described,Resellable,27.7,Approved,Store
RET-00001846,ITM-000024867,CUS-001263,2020-09-04,2020-09-09,Size/Fit,Damaged,39.26,Processed,Courier
RET-00001847,ITM-000024877,CUS-011395,2021-01-23,2021-02-02,Not as Described,Damaged,78.41,Processed,Courier
RET-00001848,ITM-000024883,CUS-009324,2021-08-31,2021-09-08,Changed Mind,Resellable,109.54,Approved,Store
RET-00001849,ITM-000024903,CUS-008333,2026-08-27,2026-09-08,Changed Mind,Opened,74.36,Processed,Store
RET-00001850,ITM-000024909,CUS-005142,2026-02-08,2026-02-16,Size/Fit,Resellable,64.55,Approved,Store
RET-00001851,ITM-000024923,CUS-011959,2025-12-21,2025-12-23,Changed Mind,Defective,51.5,Processed,Store
RET-00001852,ITM-000024935,CUS-001668,2021-02-21,2021-03-05,Changed Mind,Resellable,21.18,Pending,Courier
RET-00001853,ITM-000024954,CUS-009867,2022-09-18,2022-10-01,Wrong Item,Damaged,25.36,Processed,Courier
RET-00001854,ITM-000024955,CUS-008597,2026-08-10,2026-08-11,Size/Fit,Opened,73.6,Approved,Courier
RET-00001855,ITM-000024961,CUS-005421,2024-06-09,2024-06-16,Not as Described,Defective,64.12,Pending,Store
RET-00001856,ITM-000024981,CUS-010686,2025-05-19,2025-05-21,Not as Described,Resellable,53.77,Approved,Courier
RET-00001857,ITM-000024988,CUS-001135,2022-05-16,2022-05-17,Defective Product,Resellable,23.65,Approved,Courier
RET-00001858,ITM-000024995,CUS-010924,2020-09-24,2020-09-24,Wrong Item,Damaged,85.71,Processed,Courier
RET-00001859,ITM-000025002,CUS-008545,2022-06-22,2022-06-24,Damaged Delivery,Damaged,95.83,Approved,Store
RET-00001860,ITM-000025008,CUS-009668,2024-02-05,2024-02-16,Size/Fit,Damaged,72.48,Processed,Courier
RET-00001861,ITM-000025068,CUS-004442,2020-12-22,2021-01-01,Damaged Delivery,Opened,190.3,Processed,Store
RET-00001862,ITM-000025074,CUS-003980,2025-08-14,2025-08-23,Not as Described,Damaged,197.77,Approved,Courier
RET-00001863,ITM-000025087,,2023-08-22,2023-08-23,Not as Described,Damaged,262.17,Pending,Store
RET-00001864,ITM-000025091,CUS-008979,2020-12-29,2021-01-09,Size/Fit,Opened,32.8,Approved,Courier
RET-00001865,ITM-000025107,CUS-009608,2020-12-06,2020-12-14,Changed Mind,Opened,110.16,Processed,Store
RET-00001866,ITM-000025109,CUS-009051,2021-06-21,2021-06-26,Wrong Item,Opened,31.32,Processed,Courier
RET-00001867,ITM-000025118,,2025-09-04,2025-09-06,Size/Fit,Opened,52.46,Approved,Courier
RET-00001868,ITM-000025121,CUS-002001,2022-07-26,2022-08-03,Not as Described,Damaged,116.47,Pending,Courier
RET-00001869,ITM-000025127,CUS-006986,2022-11-20,2022-11-26,Size/Fit,Resellable,37.83,Processed,Store
RET-00001870,ITM-000025130,CUS-011781,2020-07-29,2020-07-29,Defective Product,Defective,41.47,Approved,Store
RET-00001871,ITM-000025131,CUS-005307,2021-04-27,2021-04-28,Size/Fit,Defective,82.01,Processed,Store
RET-00001872,ITM-000025147,CUS-006279,2026-03-18,2026-03-29,Not as Described,Opened,59.05,Processed,Courier
RET-00001873,ITM-000025181,CUS-002057,2023-05-11,2023-05-24,Defective Product,Opened,59.32,Pending,Courier
RET-00001874,ITM-000025185,CUS-005191,2021-03-26,2021-04-07,,Damaged,13.78,Pending,Courier
RET-00001875,ITM-000025201,CUS-009972,2023-02-03,2023-02-12,Not as Described,Resellable,18.0,Pending,Courier
RET-00001876,ITM-000025206,CUS-005562,2021-02-19,2021-02-20,,Opened,40.52,Approved,Courier
RET-00001877,ITM-000025209,CUS-005919,2021-07-14,2021-07-23,Damaged Delivery,Opened,112.29,Approved,Store
RET-00001878,ITM-000025210,CUS-005919,2021-06-08,2021-06-19,,Opened,61.5,Processed,Store
RET-00001879,ITM-000025219,CUS-005544,2026-09-01,2026-09-01,Damaged Delivery,Resellable,14.68,Approved,Store
RET-00001880,ITM-000025220,CUS-005544,2026-08-07,2026-08-13,Not as Described,Resellable,65.53,Pending,Courier
RET-00001881,ITM-000025225,CUS-006556,2020-06-27,2020-07-09,Wrong Item,Resellable,27.25,Approved,Courier
RET-00001882,ITM-000025226,CUS-006862,2024-02-19,2024-02-25,Damaged Delivery,Defective,27.45,Pending,Store
RET-00001883,ITM-000025237,,2023-11-17,2023-11-30,Size/Fit,Damaged,70.72,Processed,Courier
RET-00001884,ITM-000025244,CUS-008057,2022-08-14,2022-08-22,Changed Mind,Resellable,289.26,Processed,Courier
RET-00001885,ITM-000025256,CUS-001983,2025-12-21,2026-01-03,Size/Fit,Opened,410.8,Processed,Store
RET-00001886,ITM-000025259,CUS-000256,2021-01-14,2021-01-27,Not as Described,Defective,200.83,Approved,Store
RET-00001887,ITM-000025266,CUS-000686,2021-10-26,2021-10-27,Defective Product,Resellable,55.23,Pending,Courier
RET-00001888,ITM-000025280,CUS-001823,2026-02-16,2026-02-24,Size/Fit,Damaged,26.3,Processed,Courier
RET-00001889,ITM-000025281,CUS-001823,2026-02-17,2026-02-24,Changed Mind,Opened,31.28,Pending,Store
RET-00001890,ITM-000025284,CUS-007599,2025-12-25,2026-01-05,Changed Mind,Opened,133.99,Approved,Courier
RET-00001891,ITM-000025294,,2025-12-19,2025-12-24,Changed Mind,Defective,36.88,Pending,Store
RET-00001892,ITM-000025317,CUS-007048,2025-02-01,2025-02-04,Not as Described,Damaged,57.45,Approved,Store
RET-00001893,ITM-000025321,CUS-011255,2024-03-14,2024-03-19,Defective Product,Damaged,26.85,Processed,Store
RET-00001894,ITM-000025340,CUS-003851,2021-12-29,2022-01-01,Changed Mind,Opened,19.43,Approved,Courier
RET-00001895,ITM-000025372,CUS-011177,2022-05-29,2022-06-01,Defective Product,Resellable,43.53,Pending,Store
RET-00001896,ITM-000025398,CUS-010230,2023-04-04,2023-04-07,,Resellable,29.52,Approved,Courier
RET-00001897,ITM-000025423,CUS-011703,2021-03-19,2021-03-29,,Defective,31.34,Processed,Courier
RET-00001898,ITM-000025449,CUS-011331,2025-10-17,2025-10-18,Changed Mind,Defective,113.04,Processed,Store
RET-00001899,ITM-000025463,CUS-005598,2022-07-25,2022-07-30,Size/Fit,Defective,82.67,Processed,Store
RET-00001900,ITM-000025471,CUS-007553,2026-01-07,2026-01-11,Changed Mind,Opened,83.31,Processed,Store
RET-00001901,ITM-000025481,CUS-000001,2024-12-21,2025-01-01,Damaged Delivery,Damaged,77.12,Approved,Courier
RET-00001902,ITM-000025487,CUS-005825,2025-09-19,2025-09-25,Size/Fit,Opened,68.25,Pending,Courier
RET-00001903,ITM-000025502,CUS-002444,2021-08-31,2021-09-09,Size/Fit,Damaged,26.21,Processed,Store
RET-00001904,ITM-000025505,CUS-011939,2020-04-22,2020-04-26,Defective Product,Defective,106.86,Approved,Store
RET-00001905,ITM-000025534,CUS-010187,2020-04-20,2020-05-03,Changed Mind,Defective,60.37,Approved,Store
RET-00001906,ITM-000025545,CUS-006537,2023-10-09,2023-10-20,Defective Product,Defective,140.18,Processed,Courier
RET-00001907,ITM-000025560,CUS-009458,2022-10-21,2022-10-24,Defective Product,Damaged,41.8,Pending,Store
RET-00001908,ITM-000025568,CUS-007655,2024-11-22,2024-11-30,Damaged Delivery,Defective,887.45,Processed,Courier
RET-00001909,ITM-000025572,CUS-001515,2020-10-08,2020-10-21,,Defective,23.98,Pending,Store
RET-00001910,ITM-000025580,CUS-011431,2022-05-07,2022-05-16,Not as Described,Damaged,110.65,Approved,Courier
RET-00001911,ITM-000025618,CUS-006312,2020-02-24,2020-03-06,Changed Mind,Defective,54.65,Processed,Store
RET-00001912,ITM-000025628,CUS-003914,2024-04-17,2024-04-28,Changed Mind,Opened,171.12,Pending,Store
RET-00001913,ITM-000025652,CUS-010400,2020-07-13,2020-07-14,Defective Product,Damaged,64.65,Processed,Store
RET-00001914,ITM-000025654,CUS-006894,2023-03-06,2023-03-15,Changed Mind,Damaged,121.49,Approved,Courier
RET-00001915,ITM-000025702,CUS-008295,2025-09-13,2025-09-23,Changed Mind,Defective,244.38,Pending,Courier
RET-00001916,ITM-000025714,CUS-008970,2025-08-15,2025-08-21,Changed Mind,Damaged,154.66,Pending,Store
RET-00001917,ITM-000025719,CUS-008083,2024-04-20,2024-04-29,Defective Product,Damaged,84.34,Processed,Courier
RET-00001918,ITM-000025759,CUS-001705,2024-01-21,2024-02-03,Damaged Delivery,Damaged,118.12,Pending,Courier
RET-00001919,ITM-000025764,CUS-009575,2020-03-07,2020-03-07,,Resellable,318.09,Pending,Courier
RET-00001920,ITM-000025765,CUS-007892,2021-07-07,2021-07-20,Defective Product,Defective,76.15,Processed,Courier
RET-00001921,ITM-000025776,CUS-001680,2025-11-09,2025-11-14,Changed Mind,Damaged,59.25,Processed,Store
RET-00001922,ITM-000025777,CUS-008730,2025-03-22,2025-03-25,Changed Mind,Defective,124.57,Approved,Store
RET-00001923,ITM-000025779,CUS-008730,2025-03-11,2025-03-13,Damaged Delivery,Opened,55.99,Processed,Store
RET-00001924,ITM-000025816,CUS-003538,2025-05-05,2025-05-12,Not as Described,Damaged,32.96,Approved,Store
RET-00001925,ITM-000025835,CUS-010671,2020-03-11,2020-03-15,Changed Mind,Damaged,38.21,Pending,Courier
RET-00001926,ITM-000025840,CUS-011092,2026-07-09,2026-07-18,,Damaged,780.52,Approved,Courier
RET-00001927,ITM-000025875,CUS-000385,2022-05-02,2022-05-11,Not as Described,Damaged,417.33,Approved,Store
RET-00001928,ITM-000025895,,2022-11-24,2022-11-29,Defective Product,Defective,54.18,Approved,Courier
RET-00001929,ITM-000025925,CUS-000871,2024-01-29,2024-02-01,Changed Mind,Resellable,27.36,Pending,Courier
RET-00001930,ITM-000025947,CUS-002849,2024-08-02,2024-08-05,Defective Product,Damaged,28.17,Pending,Courier
RET-00001931,ITM-000025962,CUS-001571,2026-03-06,2026-03-15,Size/Fit,Resellable,59.64,Pending,Store
RET-00001932,ITM-000025983,CUS-009260,2023-04-19,2023-04-19,Not as Described,Opened,53.56,Pending,Courier
RET-00001933,ITM-000025992,CUS-008341,2025-10-17,2025-10-24,Size/Fit,Resellable,38.24,Pending,Store
RET-00001934,ITM-000026002,CUS-005344,2021-07-22,2021-07-30,Size/Fit,Opened,80.29,Processed,Store
RET-00001935,ITM-000026003,CUS-001457,2026-08-12,2026-08-18,Size/Fit,Damaged,31.14,Approved,Courier
RET-00001936,ITM-000026013,CUS-002116,2024-07-14,2024-07-26,Changed Mind,Damaged,55.34,Approved,Courier
RET-00001937,ITM-000026027,CUS-005997,2021-02-11,2021-02-22,,Damaged,125.99,Pending,Courier
RET-00001938,ITM-000026034,CUS-003455,2022-02-09,2022-02-20,Size/Fit,Resellable,25.93,Approved,Courier
RET-00001939,ITM-000026051,CUS-009375,2025-11-02,2025-11-13,Damaged Delivery,Damaged,555.07,Pending,Store
RET-00001940,ITM-000026067,CUS-004475,2023-07-09,2023-07-14,Defective Product,Damaged,887.45,Pending,Courier
RET-00001941,ITM-000026099,CUS-000137,2023-11-06,2023-11-19,Size/Fit,Damaged,97.73,Pending,Store
RET-00001942,ITM-000026101,CUS-005669,2020-10-17,2020-10-26,,Resellable,89.6,Processed,Store
RET-00001943,ITM-000026105,CUS-005135,2020-11-18,2020-11-26,Size/Fit,Defective,73.9,Pending,Store
RET-00001944,ITM-000026133,CUS-003356,2020-08-02,2020-08-07,Defective Product,Opened,97.49,Pending,Store
RET-00001945,ITM-000026150,CUS-002718,2022-09-25,2022-10-08,Changed Mind,Damaged,84.52,Pending,Courier
RET-00001946,ITM-000026207,CUS-003128,2024-05-28,2024-05-31,Defective Product,Defective,382.75,Pending,Courier
RET-00001947,ITM-000026211,CUS-005344,2022-06-09,2022-06-17,Other,Resellable,148.41,Approved,Store
RET-00001948,ITM-000026230,CUS-007039,2025-02-04,2025-02-04,Changed Mind,Defective,175.33,Pending,Store
RET-00001949,ITM-000026233,CUS-011017,2020-03-07,2020-03-09,Size/Fit,Resellable,66.6,Pending,Courier
RET-00001950,ITM-000026243,CUS-007677,2023-08-08,2023-08-16,Not as Described,Damaged,24.34,Processed,Courier
RET-00001951,ITM-000026255,CUS-007629,2023-05-31,2023-06-10,Defective Product,Opened,115.84,Processed,Store
RET-00001952,ITM-000026256,CUS-007629,2023-05-22,2023-05-26,Not as Described,Defective,92.53,Pending,Store
RET-00001953,ITM-000026265,CUS-004617,2021-05-25,2021-06-04,Changed Mind,Damaged,239.95,Approved,Store
RET-00001954,ITM-000026266,CUS-002514,2022-04-13,2022-04-22,Defective Product,Resellable,20.21,Approved,Store
RET-00001955,ITM-000026281,CUS-004989,2025-01-13,2025-01-15,Changed Mind,Damaged,124.41,Processed,Courier
RET-00001956,ITM-000026290,CUS-001515,2023-12-07,2023-12-13,Defective Product,Resellable,107.92,Processed,Store
RET-00001957,ITM-000026350,CUS-004585,2020-12-16,2020-12-24,Defective Product,Opened,40.4,Approved,Store
RET-00001958,ITM-000026358,CUS-001915,2026-04-13,2026-04-24,Size/Fit,Opened,26.22,Processed,Courier
RET-00001959,ITM-000026366,CUS-000145,2020-08-25,2020-08-29,,Defective,112.02,Processed,Courier
RET-00001960,ITM-000026372,CUS-005840,2021-04-09,2021-04-11,,Opened,76.32,Pending,Courier
RET-00001961,ITM-000026391,CUS-006279,2025-07-07,2025-07-11,Not as Described,Resellable,423.78,Pending,Courier
RET-00001962,ITM-000026403,CUS-004133,2025-02-26,2025-02-27,Changed Mind,Resellable,34.61,Approved,Courier
RET-00001963,ITM-000026418,CUS-009836,2025-08-26,2025-09-06,Size/Fit,Damaged,110.02,Pending,Store
RET-00001964,ITM-000026428,CUS-009050,2023-03-10,2023-03-22,Changed Mind,Defective,73.88,Processed,Store
RET-00001965,ITM-000026435,CUS-009028,2025-09-09,2025-09-12,,Resellable,100.77,Approved,Courier
RET-00001966,ITM-000026445,CUS-003963,2021-03-03,2021-03-04,Size/Fit,Damaged,60.81,Approved,Store
RET-00001967,ITM-000026452,CUS-002814,2020-08-12,2020-08-24,,Damaged,161.84,Processed,Store
RET-00001968,ITM-000026470,CUS-001437,2021-10-08,2021-10-15,Changed Mind,Resellable,191.25,Processed,Store
RET-00001969,ITM-000026473,CUS-010316,2023-06-25,2023-07-03,Not as Described,Defective,74.65,Processed,Courier
RET-00001970,ITM-000026481,CUS-008791,2023-03-29,2023-04-10,Defective Product,Defective,37.65,Processed,Courier
RET-00001971,ITM-000026484,CUS-007151,2026-08-17,2026-08-30,Size/Fit,Defective,32.27,Processed,Courier
RET-00001972,ITM-000026499,CUS-008009,2023-03-28,2023-03-31,Defective Product,Damaged,231.74,Processed,Store
RET-00001973,ITM-000026503,,2021-01-15,2021-01-22,Changed Mind,Damaged,23.04,Approved,Store
RET-00001974,ITM-000026513,CUS-009569,2026-09-27,2026-10-06,Defective Product,Damaged,124.41,Pending,Courier
RET-00001975,ITM-000026539,CUS-003070,2021-11-14,2021-11-27,Size/Fit,Damaged,26.14,Processed,Courier
RET-00001976,ITM-000026554,CUS-009458,2024-12-31,2025-01-10,Not as Described,Damaged,303.9,Approved,Courier
RET-00001977,ITM-000026565,CUS-009606,2025-12-09,2025-12-18,Changed Mind,Damaged,30.11,Processed,Store
RET-00001978,ITM-000026577,CUS-006507,2023-09-30,2023-10-10,Defective Product,Opened,34.77,Processed,Store
RET-00001979,ITM-000026580,CUS-000689,2026-07-27,2026-08-07,Other,Defective,89.36,Pending,Courier
RET-00001980,ITM-000026589,CUS-004701,2022-11-19,2022-11-23,Changed Mind,Opened,42.52,Approved,Courier
RET-00001981,ITM-000026596,CUS-011434,2026-03-24,2026-03-30,Size/Fit,Opened,37.83,Pending,Store
RET-00001982,ITM-000026603,CUS-011887,2025-06-29,2025-07-02,Size/Fit,Defective,121.21,Pending,Store
RET-00001983,ITM-000026607,CUS-004222,2026-01-11,2026-01-15,Changed Mind,Damaged,20.5,Processed,Courier
RET-00001984,ITM-000026639,CUS-010929,2024-03-27,2024-04-03,Defective Product,Damaged,788.43,Pending,Courier
RET-00001985,ITM-000026654,CUS-007240,2021-01-15,2021-01-19,Size/Fit,Defective,20.72,Processed,Courier
RET-00001986,ITM-000026657,CUS-005299,2023-04-24,2023-05-03,Changed Mind,Defective,46.04,Approved,Courier
RET-00001987,ITM-000026686,CUS-001544,2024-04-05,2024-04-16,Size/Fit,Defective,472.84,Processed,Courier
RET-00001988,ITM-000026691,CUS-000918,2022-04-10,2022-04-21,Not as Described,Opened,109.6,Processed,Courier
RET-00001989,ITM-000026693,CUS-000918,2022-05-01,2022-05-01,Size/Fit,Opened,29.52,Pending,Courier
RET-00001990,ITM-000026699,CUS-009993,2022-03-10,2022-03-18,Size/Fit,Defective,115.37,Approved,Store
RET-00001991,ITM-000026711,CUS-001271,2024-11-29,2024-12-09,Not as Described,Resellable,43.58,Processed,Courier
RET-00001992,ITM-000026733,CUS-004180,2024-08-21,2024-08-24,Defective Product,Opened,53.96,Processed,Store
RET-00001993,ITM-000026739,,2022-03-26,2022-03-28,Other,Resellable,39.47,Pending,Store
RET-00001994,ITM-000026774,CUS-008689,2026-06-23,2026-06-23,Damaged Delivery,Damaged,195.88,Processed,Courier
RET-00001995,ITM-000026788,CUS-009121,2021-12-21,2021-12-24,Changed Mind,Defective,29.22,Approved,Courier
RET-00001996,ITM-000026793,CUS-001932,2023-06-27,2023-07-08,Wrong Item,Defective,10.29,Processed,Courier
RET-00001997,ITM-000026800,CUS-003951,2024-01-22,2024-02-01,Defective Product,Damaged,35.48,Approved,Store
